# 1. letnik uni_ri ; 
Osnove programiranja ; Mahnič, Viljan
Osnove matematične analize ; Mramor-Kosta, Neža
Diskretne strukture ; Fijavž, Gašper
Osnove digitalnih vezij ; Zimic, Nikolaj
Fizika ; Osredkar, Radko/Ambrožič, Milan 
Programiranje in algoritmi ; Divjak, Saša / Kononenko,Igor
Linearna algebra ; Orel, Bojan
Osnove podatkovnih baz ; Bajec, Marko 
Računalniške komunikacije ; Bosnić, Zoran
Komunikacija človek računalnik ; Jager, Franc
# ; 
# 2. letnik uni_ri ; 
Algoritmi in podatkovne strukture ; Robič, Borut 
Arhitektura računalniških sistemov ; Kodek, Dušan 
Verjetnost in statistika ; Jurišić, Aleksandar 
Osnove umetne inteligence ; Bratko, Ivan 
Osnove informacijskih sistemov ; Krisper, Marjan
Teorija informacij in sistemov ; Dobnikar, Andrej
Operacijski sistemi ; Robič, Borut 
Organizacija računalniških sistemov ; Kodek, Dušan
# ; 
# strokovno izbirni Predmeti ; 
Matematično modeliranje ; Mramor-Kosta, Neža
Principi programskih jezikov ; Bratko, Ivan
Računalniške tehnologije ; Osredkar, Radko/Ambrožič, Milan
# prosti izbirni Predmeti ; 
Angleški jezik nivo A ; Štros Bračko, Marina
Angleški jezik nivo B ; Štros Bračko, Marina
Angleški jezik nivo C ; Štros Bračko, Marina
Izbrana poglavja iz računalništva in informatike ; Gallan, Robert
Računalništvo v praksi I ; Mramor-Kosta, Neža
Računalništvo v praksi II ; Mramor-Kosta, Neža
# ; 
# 3. letnik uni_ri ; 
Komuniciranje in vodenje projektov ; Solina, Franc
Ekonomika in podjetništvo ; Drnovšek, Mateja
# Informacijski sistemi ; 
# Predmet ; 
Elektronsko poslovanje ; Trček, Denis
Poslovna inteligenca ; Zupan, Blaž/Rajkovič, Vladislav/Demšar, Janez
Organizacija in management ; Škerlavaj, Miha
# Obvladovanje informatike ; 
# Predmet ; 
Razvoj informacijskih sistemov ; Bajec, Marko
Tehnologija upravljanja podatkov ; Kukar, Matjaž
Planiranje in upravljanje informatike ; Krisper, Marjan
# Razvoj programske opreme ; 
# Predmet ; 
Postopki razvoja programske opreme ; Jurič, Branko Matjaž
Spletno programiranje ; Bosnić, Zoran
Tehnologija programske opreme ; Mahnič, Viljan
# Računalniška omrežja ; 
# Predmet ; 
Modeliranje računalniških omrežij ; Mraz, Miha
Komunikacijski protokoli ; Ciglarič, Mojca
Brezžična in mobilna omrežja ; Zimic, Nikolaj
# Računalniški sistemi ; 
# Predmet ; 
Digitalno načrtovanje ; Guštin, Veselko
Porazdeljeni sistemi ; Dobnikar, Andrej
Zanesljivost in zmogljivost računalniških sistemov ; Mraz, Miha
# Algoritmi in sistemski programi ; 
# Predmet ; 
Računska zahtevnost in hevristično programiranje ; Robnik Šikonja, Marko
Sistemska programska oprema ; Dobravec, Tomaž
Prevajalniki ; Kukar, Matjaž 
# Umetna inteligenca ; 
# Predmet ; 
Inteligentni sistemi ; Kononenko, Igor/Robnik Šikonja, Marko
Umetno zaznavanje ; Leonardis, Aleš
Razvoj inteligentnih sistemov ; Skočaj, Danijel
# Medijske tehnologije ; 
# Predmet ; 
Računalniška grafika in tehnologija iger (B-UNI) ; Marolt, Matija
Multimedijski sistemi ; Leonardis, Aleš
Osnove oblikovanja ; Bovcon, Narvika
