L300	INFOR.SIST. IN ODLOÈ.-MAG
P700	RAÈUNALNIŠTVO IN MATEMATIKA - UN
HB10	RI-LOGIKA IN SISTEMI       -VS
HB20	RI-PROGRAMSKA OPREMA       -VS
HB30	RI-INFORMATIKA             -VS
7100	RAÈUNALNIŠTVO IN INFORMATIKA - MAG
HB00	RAÈUNALNIŠTVO IN INFORMATIKA - VS
L200	RI - BREZ SMERI - UN
L210	RI - LOGIKA IN SISTEMI - UN
L220	RI - PROGRAMSKA OPREMA - UN
L230	RI - INFORMATIKA - UN
L240	RI - RAÈUNALNI©KI SISTEMI - UN
VT00	RAÈUNALNIŠTVO IN INFORMATIKA - BUN
VU00	RAÈUNALNIŠTVO IN INFORMATIKA - BVS
VV00	RAÈUNALNIŠTVO IN MATEMATIKA - BUN
X500	KOGNITIVNE ZNANOSTI - BMA
X600	RAÈUNALNIŠTVO IN INFORMATIKA - BDR
XU00	HUMANISTIKA IN DRUŽBOSL. - BDR
